row_id,order_priority,discount,unit_price,shipping_cost,customer_id,customer_name,customer_segment,product_category,product_sub_category,product_container,product_name,product_base_margin,region,district,order_date,ship_date,profit,quantity,sales,order_id,product_name_original,data_quality_flags
18606,Not Specified,0.01,2.88,0.5,2,Janice Fletcher,Corporate,Office Supplies,Labels,Small Box,Avery 49,0.36,Central,Alor Gajah,2012-05-28,2012-05-30,1.32,2,5.9,88525,AVERY 49,
20847,High,0.01,2.84,0.93,3,Bonnie Potter,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,Sanford Liquid Accent Tank-Style Highlighters,0.54,West,Alor Gajah,2010-07-07,2010-08-07,4.56,4,13.01,88522,SANFORD LIQUID ACCENT TANK-STYLE HIGHLIGHTERS,
23086,Not Specified,0.03,6.68,6.15,3,Bonnie Potter,Corporate,Office Supplies,Paper,Small Box,Xerox 1968,0.37,West,Alor Gajah,2011-07-27,2011-07-28,-47.64,7,49.92,88523,XEROX 1968,
23087,Not Specified,0.01,5.68,3.6,3,Bonnie Potter,Corporate,Office Supplies,"Scissors, Rulers And Trimmers",Small Pack,Acme® Preferred Stainless Steel Scissors,0.56,West,Alor Gajah,2011-07-27,2011-07-28,-30.51,7,41.64,88523,ACME® PREFERRED STAINLESS STEEL SCISSORS,
23088,Not Specified,0.0,205.99,2.5,3,Bonnie Potter,Corporate,Technology,Telephones And Communication,Small Box,V70,0.59,West,Alor Setar,2011-07-27,2011-07-27,998.2023,8,1446.67,88523,V70,
23597,Medium,0.09,55.48,14.3,3,Bonnie Potter,Corporate,Office Supplies,Paper,Small Box,Xerox 194,0.37,West,Bagan Datuk,2011-09-11,2011-11-11,1388.0523,37,2011.67,88524,XEROX 194,
25549,Low,0.08,120.97,26.3,3,Bonnie Potter,Corporate,Technology,Office Machines,Jumbo Drum,Canon S750 Color Inkjet Printer,0.38,West,Bagan Datuk,2013-01-07,2013-08-07,1001.4453,12,1451.37,88526,CANON S750 COLOR INKJET PRINTER,
20228,Not Specified,0.02,500.98,26.0,5,Ronnie Proctor,Home Office,Furniture,Chairs & Chairmats,Jumbo Drum,Global Troy Executive Leather Low-Back Tilter,0.6,West,Dungun,2010-12-13,2010-12-15,4390.3665,12,6362.85,90193,GLOBAL TROY EXECUTIVE LEATHER LOW-BACK TILTER,
19483,Low,0.08,6.48,6.81,5,Ronnie Proctor,Home Office,Office Supplies,Paper,Small Box,Xerox 1930,0.36,West,Dungun,2012-12-05,2012-05-21,-141.26,18,113.25,90197,XEROX 1930,ship_before_order;
24782,High,0.01,90.24,0.99,6,Dwight Hwang,Home Office,Office Supplies,Appliances,Small Box,Kensington 6 Outlet Masterpiece® Homeoffice Power Control Center,0.56,West,Dungun,2011-05-26,2011-05-26,1045.4673,16,1515.17,90194,KENSINGTON 6 OUTLET MASTERPIECE® HOMEOFFICE POWER CONTROL CENTER,
24563,Critical,0.07,6.48,6.6,6,Dwight Hwang,Home Office,Office Supplies,Paper,Small Box,Xerox 21,0.37,West,Dungun,2012-12-29,2012-12-31,-13.86,4,28.61,90200,XEROX 21,
24564,Critical,0.01,4.84,0.71,6,Dwight Hwang,Home Office,Office Supplies,Pens & Art Supplies,Wrap Bag,*Staples* Highlighting Markers,0.52,West,Dungun,2012-12-29,2012-12-31,57.5805,17,83.45,90200,*STAPLES* HIGHLIGHTING MARKERS,
24565,Critical,0.1,85.99,0.99,6,Dwight Hwang,Home Office,Technology,Telephones And Communication,Wrap Bag,Accessory34,0.55,West,Gombak,2012-12-29,2012-12-31,1176.5052,24,1705.08,90200,ACCESSORY34,
21866,High,0.05,12.28,4.86,7,Leon Gill,Home Office,Office Supplies,Paper,Small Box,Xerox 1933,0.38,East,Gombak,2012-10-30,2012-10-31,72.9928,19,232.95,90198,XEROX 1933,
20876,Medium,0.08,140.98,36.09,8,Melanie Garner,Home Office,Furniture,Bookcases,Jumbo Box,"Sauder Forest Hills Library, Woodland Oak Finish",0.77,East,Gombak,2012-12-25,2012-12-26,-158.74,5,705.47,90199,"SAUDER FOREST HILLS LIBRARY, WOODLAND OAK FINISH",
20877,Medium,0.1,286.85,61.76,9,Lorraine Houston,Home Office,Furniture,Tables,Jumbo Box,Riverside Furniture Stanwyck Manor Table Series,0.78,East,Gombak,2012-12-25,2012-12-27,-346.6151975,8,1794.27,90199,RIVERSIDE FURNITURE STANWYCK MANOR TABLE SERIES,
22241,Critical,0.06,15.57,1.39,10,Meredith Norris,Home Office,Office Supplies,Envelopes,Small Box,Park Ridge Embossed Executive Business Envelopes,0.38,East,Gombak,2011-04-10,2011-05-10,142.7955,14,206.95,90195,PARK RIDGE EMBOSSED EXECUTIVE BUSINESS ENVELOPES,
21776,Critical,0.06,9.48,7.29,11,Marcus Dunlap,Home Office,Furniture,Office Furnishings,Small Pack,"Dax Two-Tone Rosewood/Black Document Frame, Desktop, 5 X 7",0.45,East,Gombak,2010-08-15,2010-08-17,-53.8096,22,211.15,90192,"DAX TWO-TONE ROSEWOOD/BLACK DOCUMENT FRAME, DESKTOP, 5 X 7",
23328,High,0.04,10.98,3.37,12,Kara Pace,Home Office,Office Supplies,"Scissors, Rulers And Trimmers",Small Pack,Fiskars® Softgrip Scissors,0.57,East,Gombak,2012-02-24,2012-02-26,23.12,8,90.39,90196,FISKARS® SOFTGRIP SCISSORS,
24844,Medium,0.09,78.69,19.99,14,Gwendolyn Tyson,Small Business,Furniture,Office Furnishings,Small Box,Howard Miller 12-3/4 Diameter Accuwave Ds  Wall Clock,0.43,Central,Gombak,2010-12-05,2010-05-14,803.4705,16,1164.45,86838,HOWARD MILLER 12-3/4 DIAMETER ACCUWAVE DS  WALL CLOCK,ship_before_order;
24846,Medium,0.08,3.28,2.31,14,Gwendolyn Tyson,Small Business,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 321,0.56,Central,Gombak,2010-12-05,2010-05-13,-24.03,7,22.23,86838,NEWELL 321,ship_before_order;
24847,Medium,0.05,3.28,4.2,14,Gwendolyn Tyson,Small Business,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 351,0.56,Central,Gombak,2010-12-05,2010-05-13,-37.03,4,13.99,86838,NEWELL 351,ship_before_order;
24848,Medium,0.05,3.58,1.63,14,Gwendolyn Tyson,Small Business,Office Supplies,Rubber Bands,Wrap Bag,"Oic Colored Binder Clips, Assorted Sizes",0.36,Central,Gombak,2010-12-05,2010-05-13,-0.71,4,14.26,86838,"OIC COLORED BINDER CLIPS, ASSORTED SIZES",ship_before_order;
24845,Medium,0.01,6.48,7.86,14,Gwendolyn Tyson,Small Business,Office Supplies,Paper,Small Box,Xerox 213,0.37,Central,Gombak,2013-12-05,2013-05-13,-44.54,4,29.55,86845,XEROX 213,ship_before_order;
18181,Critical,0.0,4.42,4.99,15,Timothy Reese,Small Business,Office Supplies,Envelopes,Small Box,Grip Seal Envelopes,0.38,East,Gua Musang,2010-08-04,2010-09-04,-59.82,7,33.47,86837,GRIP SEAL ENVELOPES,
20925,Medium,0.01,35.94,6.66,15,Timothy Reese,Small Business,Office Supplies,Envelopes,Small Box,"Tyvek ® Top-Opening Peel & Seel ® Envelopes, Gray",0.4,East,Hilir Perak,2010-05-28,2010-05-28,261.8757,10,379.53,86839,"TYVEK ® TOP-OPENING PEEL & SEEL ® ENVELOPES, GRAY",
18263,Medium,0.03,1.76,0.7,15,Timothy Reese,Small Business,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 310,0.56,East,Hilir Perak,2011-04-12,2011-06-12,-1.17,10,17.39,86840,NEWELL 310,
18554,Medium,0.04,5.98,5.2,15,Timothy Reese,Small Business,Office Supplies,Paper,Small Box,Xerox 1992,0.36,East,Hulu Selangor,2012-04-29,2012-01-05,-24.03,3,19.04,86841,XEROX 1992,ship_before_order;
22781,Low,0.0,7.59,4.0,15,Timothy Reese,Small Business,Furniture,Office Furnishings,Wrap Bag,"Master Giant Foot® Doorstop, Safety Yellow",0.42,East,Hulu Selangor,2013-01-19,2013-01-21,23.2668,4,33.72,86842,"MASTER GIANT FOOT® DOORSTOP, SAFETY YELLOW",
23287,Low,0.07,4.13,6.89,15,Timothy Reese,Small Business,Office Supplies,Labels,Small Box,"Avery 05222 Permanent Self-Adhesive File Folder Labels For Typewriters, On Rolls, White, 250/Roll",0.39,East,Jasin,2013-01-21,2013-01-23,-174.2696,9,38.18,86843,"AVERY 05222 PERMANENT SELF-ADHESIVE FILE FOLDER LABELS FOR TYPEWRITERS, ON ROLLS, WHITE, 250/ROLL",
26267,High,0.04,2.98,1.58,16,Sarah Ramsey,Small Business,Office Supplies,Rubber Bands,Wrap Bag,Staples Gold Paper Clips,0.39,East,Jasin,2010-12-02,2010-02-15,2.63,6,18.8,86836,STAPLES GOLD PAPER CLIPS,ship_before_order;
26268,High,0.05,115.99,2.5,16,Sarah Ramsey,Small Business,Technology,Telephones And Communication,Small Box,Startac 7797,0.55,East,Jasin,2010-12-02,2010-02-14,652.7331,10,945.99,86836,STARTAC 7797,ship_before_order;
26266,High,0.08,14.27,7.27,16,Sarah Ramsey,Small Business,Office Supplies,Binders And Binder Accessories,Small Box,"Gbc Laser Imprintable Binding System Covers, Desert Sand",0.38,East,Jasin,2013-12-02,2013-02-15,3.4595,3,45.6,86844,"GBC LASER IMPRINTABLE BINDING SYSTEM COVERS, DESERT SAND",ship_before_order;
19359,Low,0.05,5.85,2.27,17,Florence Hsu,Small Business,Office Supplies,Pens & Art Supplies,Wrap Bag,"Dixon My First Ticonderoga Pencil, #2",0.56,West,Jasin,2011-04-20,2011-04-24,-6.82,2,12.18,90033,"DIXON MY FIRST TICONDEROGA PENCIL, #2",
20459,Critical,0.05,7.77,9.23,17,Florence Hsu,Small Business,Office Supplies,Appliances,Small Box,Hoover Commercial Soft Guard Upright Vacuum And Disposable Filtration Bags,0.58,West,Jasin,2012-06-04,2012-08-04,-96.33,4,34.75,90034,HOOVER COMMERCIAL SOFT GUARD UPRIGHT VACUUM AND DISPOSABLE FILTRATION BAGS,
23890,High,0.05,26.48,6.93,18,Laurie Hanna,Small Business,Furniture,Office Furnishings,Small Box,Dax Natural Wood-Tone Poster Frame,0.49,West,Jasin,2010-05-15,2010-05-16,314.4813,17,455.77,90031,DAX NATURAL WOOD-TONE POSTER FRAME,
21763,Critical,0.08,42.98,4.62,18,Laurie Hanna,Small Business,Office Supplies,Appliances,Small Box,Belkin F9M820V08 8 Outlet Surge,0.56,West,Jelebu,2012-05-15,2012-05-16,446.0781,15,646.49,90035,BELKIN F9M820V08 8 OUTLET SURGE,
21764,Critical,0.07,8.04,8.94,18,Laurie Hanna,Small Business,Office Supplies,Binders And Binder Accessories,Small Box,"Fellowes Twister Kit, Gray/Clear, 3/Pkg",0.4,West,Jelebu,2012-05-15,2012-05-15,-117.1045,9,75.85,90035,"FELLOWES TWISTER KIT, GRAY/CLEAR, 3/PKG",
